Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
08/02/2021,Shelley,Capito,US Senator,CSCO,Cisco Systems ,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
08/02/2021,Thomas,Tuberville,US Senator,F,Ford Motor Com,8000,Sell,"Traded $1,001 to $15,000 "
09/02/2021,Patrick,Toomey,US Senator,PENN,Penn Entertain,8000,Buy,"By Child. Traded $1,001 To $15,000 ."
09/02/2021,Thomas,Tuberville,US Senator,VEEV,Veeva Systems ,8000,Buy,"Purchase Of Put Options With Strike Price $240.00 And Expiry 03/19/2021. Traded $1.001 To $15,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
10/02/2021,Thomas,Tuberville,US Senator,ECOM,Channeladvisor,73000,Buy,"Traded $31,001 to $115,000 "
10/02/2021,Thomas,Tuberville,US Senator,ECOM,Channeladvisor,32000,Sell,"Sale Of Put Options With Strike Price $25.00 And Expiry 09/17/2021. Traded $4,001 To $60,000 , As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
10/02/2021,Thomas,Tuberville,US Senator,ECOM,Channeladvisor,8000,Sell,"Sale Of Call Options With Strike Price $30.00 And Expiry 09/17/2021. Traded $1,001 To $15,000 , As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
11/02/2021,Thomas,Tuberville,US Senator,ECOM,Channeladvisor,8000,Sell,"Sale Of Call Options With Strike Price $30.00 And Expiry 09/17/2021. Traded $1,001 To $15,000 , As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
12/02/2021,John,Hickenlooper,US Senator,CARG,Cargurus Inc C,8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
12/02/2021,Thomas,Carper,US Senator,EEM,Emrg Mkts Isha,8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
12/02/2021,Thomas,Carper,US Senator,FEMS,Emrg Mkts Smal,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
12/02/2021,Thomas,Carper,US Senator,GGSM,Gold and Gemst,8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
16/02/2021,Thomas,Carper,US Senator,INTC,Intel Corp,8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
16/02/2021,Thomas,Tuberville,US Senator,OXY,Occidental Pet,32500,Buy,"Traded $15,001 to $50,000 "
18/02/2021,John,Hickenlooper,US Senator,CCCS,CCC Intelligen,8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
19/02/2021,Thomas,Tuberville,US Senator,ADBE,Adobe Systems ,8000,Sell,"Sale Of Put Options With Strike Price $405.00 And Expiry 06/18/2021 .Traded $1,001 To $15,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
22/02/2021,John,Boozman,US Senator,TLT,20+ Year Treas,8000,Buy,"Traded $1,001 to $15,000 ."
22/02/2021,John,Boozman,US Senator,TLH,10-20 Year Tre,8000,Buy,"Traded $1,001 to $15,000 "
22/02/2021,John,Boozman,US Senator,GBIL,GS Treasuryacc,32500,Sell,"Traded $15,001 to $50,000 "
23/02/2021,Shelley,Capito,US Senator,UBSI,United Bkshs I,75000,Buy,"By Spouse. Traded $50,001 To $100,000 "
23/02/2021,Shelley,Capito,US Senator,EV,Mast Global Ba,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
26/02/2021,Ronald,Wyden,US Senator,STX,Seagate Techno,8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
26/02/2021,Ronald,Wyden,US Senator,KLAC,K L A-Tencor C,8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
26/02/2021,Ronald,Wyden,US Senator,AMAT,Applied Materi,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
02/03/2021,Thomas,Tuberville,US Senator,MSFT,Microsoft Corp,8000,Buy,"Purchase Of Put Options With Strike Price $185.00 And Expiry 04/16/2021 .Traded $1,001 To $15,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
03/03/2021,Shelley,Capito,US Senator,UBSI,United Bkshs I,175000,Buy,"By Spouse. Traded $100,001 To $250,000 ."
04/03/2021,Ronald,Wyden,US Senator,STX,Seagate Techno,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
04/03/2021,Ronald,Wyden,US Senator,AVGO,Broadcom Ltd,8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
